NOTE  |Author: Phael
NOTE  |Updated: 01/02/2026
NOTE  |
NOTE  |[ 4 ] Meteor + [ 5 ] Thrower + [ 5 ] Healer
NOTE  |[ 2 ] Ballon
NOTE  |[ 1 ] AppWard
NOTE  |[ 4 ] Rage
NOTE  |[ 3 ] Totem
NOTE  |
NOTE  |Attack Drop: External Edges
NOTE  |Clan Castle: Any Troops + Quake
NOTE  |Siege Machine: Log Launcher
      |                                                                                                                                                                       |
      |--------------------------------------------------------------------------MeteorMayhem Start---------------------------------------------------------------------------|
      |                                                                                                                                                                       |
      |___________|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|____TH15___|____TH16___|____TH17___|
REDLN |4          |4          |4          |4          |4          |4          |4          |4          |4          |4          |4          |4          |4          |4          |
DRPLN |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |0          |
      |                                                                                                                                                                       |
      |___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|____TH14___|____TH15___|____TH16___|____TH17___|____TH18___|
CCREQ |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |XP         |
      |                                                                                                                                                                       |
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|___________|___________|___________|___________|___________|___________|
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |           |           |           |           |           |           |
      |EAGLE      |INFERNO    |XBOW       |WIZTOWER   |MORTAR     |AIRDEFENSE |MONOLITH   |GEMBOX     |           |           |           |           |           |           |
SIDEB |0          |0          |0          |0          |0          |0          |0          |           |           |           |           |           |           |           |
      |                                                                                                                                                                       |
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|BUILDING___|___________|___________|___________|___________|___________|___________|
      |TROOP WAVE
MAKE  |A          |FRONT-LEFT |10         |1          |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |B          |FRONT-RIGHT|10         |1          |INT-EXT    |0          |0          |           |           |           |           |           |           |           |

      |RAGE
MAKE  |C          |FRONT-LEFT |10         |-8         |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |D          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |E          |FRONT-LEFT |10         |-16        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |F          |FRONT-RIGHT|10         |-16        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |

      |QUAKE
MAKE  |R          |FRONT-LEFT |10         |-28        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |T          |FRONT-RIGHT|10         |-28        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |

      |TOTEM
MAKE  |X          |FRONT-LEFT |10         |-19        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |Y          |FRONT-RIGHT|10         |-21        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
MAKE  |Z          |FRONT-RIGHT|10         |-23        |INT-EXT    |0          |0          |           |           |           |           |           |           |           |
      |                                                                                                                                                                       |
      |                                                                                                                       |           |           |           |           |
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|___________|___________|___________|___________|___________|___________|___________|
      |TROOP WAVE
DROP  |A-B        |6,3        |2          |MeteorG    |128        |0          |16-32      |           |           |           |           |           |           |           |
DROP  |A-B        |2          |1          |Ball       |128        |0          |16-32      |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |Queen      |128        |0          |16-32      |           |           |           |           |           |           |           |
DROP  |A          |1          |5          |Throw      |128        |0          |16-32      |           |           |           |           |           |           |           |

      |SUPPORT
DROP  |A          |1          |5          |Heal       |64         |0          |16-32      |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |AppWard    |16         |0          |16-32      |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |Warden     |16         |0          |16-32      |           |           |           |           |           |           |           |

      |SIEGES
DROP  |A          |1          |1          |BBlimp     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |BDrill     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |FlamF      |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |LogL       |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |SiegeB     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |StoneS     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |TroopL     |128        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |A          |1          |1          |WWreck     |128        |0          |128-256    |           |           |           |           |           |           |           |

      |RAGE
DROP  |C          |1          |1          |RSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |C          |5          |1          |RSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |
DROP  |D          |4          |1          |RSpell     |256        |0          |128-256    |           |           |           |           |           |           |           |

      |HEROES
